#,Nodes,,,,,,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,…]]],,
N,Partido Nacionalista «PARNAC»,#0018A8,,1936.9.25,1941.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Liga Nacional Pro Presos,#9f9583,,1937.2.2,1937.5.4,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Agrario Nacional «PAN»,#4ba84c,,1937.8.27,1940.9.30,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Electoral,#19c117,Unión Nacional Estudiantil «UNE»,1938.10.11,1942.4.15,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Movimiento de Acción Nacionalista «MAN»,1939.12.6,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Acción Nacional,#006400,Acción Electoral,1942.4.15,1946.1.13,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Federación de Estudiantes de Venezuela «FEV»,#318CE7,,1935.12.14,1941,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Constitucional Independiente,#f008fa,,1940.5.12,1947.12,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión Venezolanista Pro Candidatura del General Isaías Medina Angarita,#b5b3c2,,1941.3.18,1941.4.28,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Agrupación Pro Candidatura del General Isaías Medina Angarita,#dfcfe5,,1941.3.17,1941.4.28,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Comité Privado Popular Independiente Pro Candidatura a la Presidencia de la República del General don Vicencio Pérez Soto,#fd687a,,1941.4.17,1941.4.28,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Agrupación Cívica Bolivariana,#848469,,1941.10.26,1943.5.26,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Federal Republicana «AFR»,#e47f55,,1945.8.23,1945.10.18,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Republicano Progresista «PRP»,#e11d40,Partido Revolucionario Venezolano «PRV»,1936.3,1948.11.24,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Socialista Venezolano «PSV»,#b3090b,,1945.11.2,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Socialista Democrático «PSD»,1967.7.30,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Partido Social Cristiano,#ccf991,,1946.2.17,1948.11.24,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión Federal Republicana «UFR»,#6dd684,,1946.5.15,1948.9.16,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Liberal Progresista,#f8dd54,,1946.6.14,1948.11.24,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Socialista de Trabajadores «PST»,#f0056a,,1946.9.17,1963.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Revolucionario del Proletariado «PRP»,#441b45,Partido Revolucionario Venezolano «PRV»,1946.10.19,1952,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Avance Popular Nacionalista «APN»,#647eb0,,1948.7.13,1948.11.24,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Republicana Popular «ARP»,#1d5b74,Unión Republicana Democrática «URD»,1952.10.27,1958.1.23,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Comité Nacional Popular de Acción Electoral «CONPAE»,#5fecfd,,1961.2.2,1971.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Republicano Progresista «MRP»,#4245a6,,1961.2.2,1963.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Social Nacionalista «MSN»,#332506,,1962.1.23,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Alianza Cívica Nacional «ALCINA»,#bb7a04,,1966.4.14,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Juventud Unida en Acción Nacional Con Bimba «Juan Bimba»,#BCBCBC,,2005,,,http://www.cne.gob.ve/int_divulgacion_parlamentarias/pdf/PARLATINOPARLANDINO.pdf,,,,,,,,,,,,
N,Aclamación Popular «AP»,#95468d,Alianza Cívica Nacional «ALCINA»,1966.8.26,1973.3.31,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Alianza Popular Independiente «API»,#54ac78,AD-Oposición,1966.10.15,1973.3.31,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Cruzada Electoral Popular Agrupación Social «CEPAS»,#4888e2,,1962.6.24,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Venezolana Independiente «AVI»,#28bfa6,,1962.8,1963.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Electoral Independiente de Democrática Organización Nacional «FEIDON»,#7e3d5d,,1962.9.10,1973.3.31,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Auténtico Nacionalista «PAN»,#5837a6,,1963.4.17,1963.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Alianza Popular «AP»,#d59d36,,1964.5.26,1966.3.24,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Independiente y Social Republicana,#779391,,1966.2.9,1966.3.24,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Alianza Independiente Nacionalista «AIN»,#e2f774,,1966.3.24,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Alianza Liberal Venezolana «ALVE»,1968.7.1,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Movimiento Libertador «ML»,#147812,,1966.5.18,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Organización Nacional Independiente «ONI»,#0511f1,,1966.9.26,1998.12.6,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Partido Liberal «PL»,#e2f21f,,1967.9.4,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Agrupación Popular Independiente Revolucionaria «APIR»,#5837a6,,1967.9.18,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Organización Popular Independiente Revolucionaria «OPIR»,1967.12.6,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Acción Independiente Revolucionaria «AIR»,#99c3e5,,1968.4.9,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Independiente Regional «FIR»,#5d5e87,,1968.8.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Izquierda Cristiana «IC»,#bf1315,,1968.8.20,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Profesionales Independientes del Volante «PRIVO»,#53312c,,1968.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Municipal «AM»,#019752,,1968.9.1,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Electores Venezolanos Independientes «EVI»,#edc1ab,,1968.9.13,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Fuerza Revolucionaria Femenina Individual «FRFI»,#f67c47,,1968.9.16,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Comité Revolucionario Independiente Nacionalista «CRIN»,#76aa4d,,1968.9.26,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Comité Revolucionario Centralista Independiente,1968.10.22,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Unión Progresista del Pueblo «UPP»,#122b58,,1968.7.16,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Bloque de Trabajadores Nacionalistas «BLOTRAN»,1969.5.29,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Unión Progresista del Pueblo «UPP»,1972.11.19,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Frente Justicialista de Liberación «FREJULI»,1973.4.22,,,,
N,Movimiento Desarrollista «MD»,#659c6e,,1968.9.27,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Carabobo Primero «CBO»,#e05a82,,1968.10.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento de los Barrios «MB»,#ed410d,,1968.10,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Municipalista «MM»,#ff18ed,,1968.10.10,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Organización Venezolana Nacionalista Independiente «OVNI»,#6d173a,,1968.10.31,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Fuerza Electoral Independiente «FEI»,#932bbd,Organización Venezolana Nacionalista Independiente «OVNI»,1968.10.31,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión Democrática Independiente «UDI»,#933426,,1968.11.2,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Pro Candidatura Obrera «MPCO»,#eae17b,,1968.1.6,1968.12.1,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Bloque Independiente Nacionalista «BIN»,#1ab247,,1970.8.4,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Popular Justicialista «MPJ»,#919409,Cruzada Cívica Nacionalista «CCN»,1971.1.30,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Unido Nacionalista «FUN»,#446953,,1971.7.1,1998.12.6,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Nacional Integracionista «FNI»,#2a753f,,1971.5.20,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Partido Nacional Integracionista «PNI»,1971.11.24,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Movimiento Independiente Lorencista,#f0e479,,1971.12.6,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Movimiento Independiente Mil Uno «MIMU»,1973.5.31,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Decisión Popular Venezolana «DPV»,#b0adc3,,1972.1.27,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Comité de Unidad Revolucionaria,#d92147,,1972.2.6,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Fuerza Espiritual Venezolana «FEV»,#333c83,,1972.3.13,1998.12.6,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Fuerza Espiritual Venezolana Orientadora «FEVO»,1973.6.4,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Congreso del Trabajo,#c56cb9,Movimiento Electoral del Pueblo «MEP»,1972.4.25,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Comité Independiente Pro Candidatura Presidencial de Rómulo Betancourt,#1295f2,,1972.4.25,1972.7.20,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento de Alternativa Revolucionaria «MAR»,#bc7029,,1972.5.20,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento de Fuerza Nacional Independiente,#94c202,,1972.5.29,1972.7.20,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Vanguardia Socialista «VS»,#f01b27,,1972.6.21,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Alianza Republicana Patriotica «ARPA»,#d6b18f,,1972.7.5,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Alianza Revolucionaria Patriótica «ARPA»,1973.5.30,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Refugio de los Venezolanos,#7b91b2,,1972.7.19,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión del Pueblo Venezolano «UPV»,#4c230a,,1972.7.24,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Movimiento Venezuela Independiente «MVI»,#07415f,,1972.1.23,1973.7.4,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Venezuela Independiente «VI»,1973.4.5,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Movimiento Independiente Progresista «MIP»,#bcce1f,,1970.8.31,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Independientes Progresistas «IP»,1973.7.4,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Social Democracia Popular Venezolana,#11034e,Comité de Organización Política Electoral Independiente «COPEI»,1972.10.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,Democracia Popular «DP»,1973.8,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,
N,Movimiento Independiente Apureño «MIA»,#f27323,,1972.11.7,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Federación Nacional Independiente «FNI»,#63ab2c,,1972.11.13,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Fuerza Emancipadora «FE»,#0f43e0,,1972.11.15,1993.12.5,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Alianza Libertadora Nacionalista «ALN»,#218463,,1973.1,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Frente Independiente Popular «FIPO»,#8f9cb0,,1973.1.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Agrupación de Mujeres Nacionalistas Independientes,#9dfa56,,1973.2.3,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Comité Independiente de Proyección Electoral,#22e5f3,,1973.2.3,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Agrupación Electoral Independiente «AEI»,#eb0e68,,1973.3.19,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Independientes Pro Desarrollo de la Comunidad «IPDC»,#6687f0,,1973.4.11,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Independientes con Burelli,#58ae1b,,1973.5,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Causa Común «CC»,#faf519,,1973.4.26,1978.12.3,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Unión de Revolucionarios Independientes «URI»,#b9dc40,,1973.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Rescate Espiritual Integración Nacional «REINA»,#725531,,1973.8,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Nuevo Ideal Nacional «NIN»,#1a498b,,1967.5.26,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Acción Nacional Progresista «ANP»,#05e00b,,1971.5.7,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Grupo de Acción Revolucionaria «GAR»,#a2600c,Comité de Organización Política Electoral Independiente «COPEI»,1969,1983.12.4,,http://www.haiman.com.ve/Archivos/Libros%20publicados/Historia%20de%20la%20Revolucion%20Bolivariana.pdf,,,,,,,,,,,,
N,Acción Renovadora Vencedora Independiente «ARVI»,#9d2079,,1973,1973.12.9,,https://kellogg.nd.edu/sites/default/files/old_files/documents/244_0.pdf,,,,,,,,,,,,
N,Movimiento Renovación Nacional «MORENA»,#cdc9a6,Unión Republicana Democrática «URD»,1978,1993.12.5,,https://kellogg.nd.edu/sites/default/files/old_files/documents/244_0.pdf,,,,,,,,,,,,
N,Movimiento Familiar «MF»,#136e0a,,1972.10.10,1973.12.9,,https://openlibrary.org/books/OL2898582M/Los_partidos_poli%CC%81ticos_en_la_evolucio%CC%81n_histo%CC%81rica_venezolana,,,,,,,,,,,,
N,Araguaney Movimiento Independiente «AMI»,#e3f54d,,1983,1988.12.4,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Movimiento del Trabajo «MDT»,#2c7d9c,,1978,1983.12.4,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Amplio Frente Independiente Nacional «AFIN»,#3c8eb4,,1978.7.12,1978.12,,https://www.buenastareas.com/ensayos/Datos-De-Los-Partidos-Pol%C3%ADticos-Actuantes/1366225.html,,,,,,,,,,,,
N,Fuerza Unida Revolucionaria «FURE»,#14706b,,1978.1.16,1980,,https://documentop.com/2199_5a19fda01723dd312b6aa202.html,,,,,,,,,,,,
N,El Pueblo Avanza «EPA»,#ea6e13,,1978.7.18,,,https://documentop.com/2299_5a19feae1723dd322b8fa508.html,El Pueblo Avanza «EPA»,2002.7.11,https://www.aporrea.org/actualidad/a210612.html,,,,,,,,,
N,Movimiento Independiente Organizado «MIO»,#147f2f,,1983,1983.12.4,,http://www.cne.gov.ve/web/documentos/estadisticas/e006.pdf,,,,,,,,,,,,
N,Independientes con Caldera «ICC»,#3dd96e,,1983.7.19,1983.12.4,,http://cic1.ucab.edu.ve/cic/php/buscar_1reg.php?Opcion=leerregistro&Formato=w&base=imber&cipar=imber.par&Mfn=3971,,,,,,,,,,,,
N,Venceremos Organizados Independientes «VOI»,#be9431,,1983,,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Integración Renovadora Electoral «IRE»,#b4541e,,1983.8.1,1988.12.4,,http://www.eumed.net/oe-vess/conv/32779.pdf,,,,,,,,,,,,
N,Electores Independientes «EI»,#aa25e8,,1983.3.22,1983.12.4,,http://gacetaoficial.tuabogado.com/gaceta-oficial/decada-1980/1983/gaceta-oficial-32690-del-22-marzo-1983,,,,,,,,,,,,
N,Nueva Alternativa «NA»,#b02a0f,Movimiento de Izquierda Revolucionaria «MIR»,1968.12,1993.12.5,,http://servidor.colegio-stellamaris.edu.co:8983/wikipedia_es_all_novid_2018-04/A/Anexo%3AVenezuela_en_1968.html,,,,,,,,,,,,
